siteID,lakeID,site,lat,long,UTM,updateID,siteID,sampleID,dayOfYear,dateSet,dateSample,dateTimeSet,dateTimeSample,crew,gear,sampleGroup,effort,effortUnits,useEffort,weather,comments,metadataID,updateID,sampleID,trailerCountID,boatCountID,time,projectID,boatCountID,boatID,boatNum,vesselType,passengerCount,fishing,residentRover,notes,enteredBy,updateID
BK_WholeShoreline,BK,WholeShoreline,46.163005,-89.3161216,,,BK_WholeShoreline,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,132,5/12/2018,5/12/2018,5/12/2018 6:00,5/12/2018 14:00,"CMI, OJ",CR,fishScapes_2018_creel,8,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_0722_CR_fishscapesCreel.Instantaneous.20180910,7:22,36,BK_WholeShoreline_20180512_0722_CR_fishscapesCreel.Instantaneous.20180910,BK_WholeShoreline_20180512_0722_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,2,1,rover,Launched before we started shift,OJ,
BK_WholeShoreline,BK,WholeShoreline,46.163005,-89.3161216,,,BK_WholeShoreline,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,132,5/12/2018,5/12/2018,5/12/2018 6:00,5/12/2018 14:00,"CMI, OJ",CR,fishScapes_2018_creel,8,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_0901_CR_fishscapesCreel.Instantaneous.20180910,9:01,36,BK_WholeShoreline_20180512_0901_CR_fishscapesCreel.Instantaneous.20180910,BK_WholeShoreline_20180512_0901_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,2,1,rover,Launched before we started shift,CMI,
BK_WholeShoreline,BK,WholeShoreline,46.163005,-89.3161216,,,BK_WholeShoreline,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,132,5/12/2018,5/12/2018,5/12/2018 6:00,5/12/2018 14:00,"CMI, OJ",CR,fishScapes_2018_creel,8,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_1301_CR_fishscapesCreel.Instantaneous.20180910,13:01,36,BK_WholeShoreline_20180512_1301_CR_fishscapesCreel.Instantaneous.20180910,BK_WholeShoreline_20180512_1301_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,2,1,rover,Launched before we started shift,CMI,
BK_WholeShoreline,BK,WholeShoreline,46.163005,-89.3161216,,,BK_WholeShoreline,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,132,5/12/2018,5/12/2018,5/12/2018 6:00,5/12/2018 14:00,"CMI, OJ",CR,fishScapes_2018_creel,8,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_1400_CR_fishscapesCreel.Instantaneous.20180910,,BK_WholeShoreline_20180512_1301_CR_fishscapesCreel.Instantaneous.20180910,13:01,36,BK_WholeShoreline_20180512_1301_CR_fishscapesCreel.Instantaneous.20180910,BK_WholeShoreline_20180512_1301_CR_fishscapesCreel.Instantaneous.20180910_2,2,kayak,1,1,resident,,CMI,
AQ_WholeShoreline,AQ,WholeShoreline,46.0369394,-89.6288435,,,AQ_WholeShoreline,AQ_WholeShoreline_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,5/13/2018,5/13/2018,5/13/2018 13:55,5/13/2018 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_WholeShoreline_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,,AQ_WholeShoreline_20180513_1755_CR_fishscapesCreel.Instantaneous.20180910,17:55,36,AQ_WholeShoreline_20180513_1755_CR_fishscapesCreel.Instantaneous.20180910,AQ_WholeShoreline_20180513_1755_CR_fishscapesCreel.Instantaneous.20180910_1,1,none,,,,,CMI,
AQ_WholeShoreline,AQ,WholeShoreline,46.0369394,-89.6288435,,,AQ_WholeShoreline,AQ_WholeShoreline_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,5/13/2018,5/13/2018,5/13/2018 13:55,5/13/2018 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_WholeShoreline_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,,AQ_WholeShoreline_20180513_1949_CR_fishscapesCreel.Instantaneous.20180910,19:49,36,AQ_WholeShoreline_20180513_1949_CR_fishscapesCreel.Instantaneous.20180910,AQ_WholeShoreline_20180513_1949_CR_fishscapesCreel.Instantaneous.20180910_1,1,none,,,,,CMI,
AQ_WholeShoreline,AQ,WholeShoreline,46.0369394,-89.6288435,,,AQ_WholeShoreline,AQ_WholeShoreline_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,5/13/2018,5/13/2018,5/13/2018 13:55,5/13/2018 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,2,,,fishscapesCreel.Instantaneous.20180910,,AQ_WholeShoreline_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,,AQ_WholeShoreline_20180513_2129_CR_fishscapesCreel.Instantaneous.20180910,21:29,36,AQ_WholeShoreline_20180513_2129_CR_fishscapesCreel.Instantaneous.20180910,AQ_WholeShoreline_20180513_2129_CR_fishscapesCreel.Instantaneous.20180910_1,1,none,,,,,CMI,
AR_WholeShoreline,AR,WholeShoreline,45.9063386,-89.6902355,,,AR_WholeShoreline,AR_WholeShoreline_20180514_2130_CR_fishscapesCreel.Instantaneous.20180910,134,5/14/2018,5/14/2018,5/14/2018 14:20,5/14/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.17,creelHours,3,,,fishscapesCreel.Instantaneous.20180910,,AR_WholeShoreline_20180514_2130_CR_fishscapesCreel.Instantaneous.20180910,,AR_WholeShoreline_20180514_1453_CR_fishscapesCreel.Instantaneous.20180910,14:53,36,AR_WholeShoreline_20180514_1453_CR_fishscapesCreel.Instantaneous.20180910,AR_WholeShoreline_20180514_1453_CR_fishscapesCreel.Instantaneous.20180910_1,1,none,,,,,CMI,
AR_WholeShoreline,AR,WholeShoreline,45.9063386,-89.6902355,,,AR_WholeShoreline,AR_WholeShoreline_20180514_2130_CR_fishscapesCreel.Instantaneous.20180910,134,5/14/2018,5/14/2018,5/14/2018 14:20,5/14/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.17,creelHours,4,,,fishscapesCreel.Instantaneous.20180910,,AR_WholeShoreline_20180514_2130_CR_fishscapesCreel.Instantaneous.20180910,,AR_WholeShoreline_20180514_1609_CR_fishscapesCreel.Instantaneous.20180910,16:09,36,AR_WholeShoreline_20180514_1609_CR_fishscapesCreel.Instantaneous.20180910,AR_WholeShoreline_20180514_1609_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,1,0,rover,,CMI,
AR_WholeShoreline,AR,WholeShoreline,45.9063386,-89.6902355,,,AR_WholeShoreline,AR_WholeShoreline_20180514_2130_CR_fishscapesCreel.Instantaneous.20180910,134,5/14/2018,5/14/2018,5/14/2018 14:20,5/14/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.17,creelHours,5,,,fishscapesCreel.Instantaneous.20180910,,AR_WholeShoreline_20180514_2130_CR_fishscapesCreel.Instantaneous.20180910,,AR_WholeShoreline_20180514_1740_CR_fishscapesCreel.Instantaneous.20180910,17:40,36,AR_WholeShoreline_20180514_1740_CR_fishscapesCreel.Instantaneous.20180910,AR_WholeShoreline_20180514_1740_CR_fishscapesCreel.Instantaneous.20180910_1,1,rowboat,2,0,,,CMI,
