siteID,projectID,sampleID,boatCountID,boatID,date,time,vesselType,boatNum,passengerCount,fishing,residentRover,movingStationary,notes,enteredBy,metadataID,entryFile
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_14:07_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_14:07_CR_fishscapesCreel.Instantaneous.20190617_NA,6/17/2019,14:07,cancelled,NA,NA,NA,NA,NA,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617_1,6/17/2019,16:25,gas_motor,1,1,1,rover,stationary,not wearing shirt,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617_2,6/17/2019,16:25,kayak,2,1,1,rover,stationary,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617_3,6/17/2019,16:25,kayak,3,1,1,rover,stationary,big hat; lots of straws,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617_4,6/17/2019,16:25,kayak,4,1,1,rover,stationary,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617_5,6/17/2019,16:25,gas_motor,5,1,1,rover,stationary,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_16:25_CR_fishscapesCreel.Instantaneous.20190617_6,6/17/2019,16:25,gas_motor,6,2,1,rover,moving,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617_1,6/17/2019,17:54,gas_motor,1,2,1,rover,stationary,recognize from dock; black boat,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617_2,6/17/2019,17:54,kayak,2,1,0,NA,NA,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617_3,6/17/2019,17:54,gas_motor,3,2,1,rover,stationary,NA,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617_4,6/17/2019,17:54,kayak,4,1,1,rover,stationary,saw at 18:10 in other basin,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190617_2130_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617,AQ_wholeShoreline_20190617_17:54_CR_fishscapesCreel.Instantaneous.20190617_5,6/17/2019,17:54,kayak,5,1,1,rover,stationary,saw at 18:10 in other basin,AT,fishscapesCreel.Instantaneous.20190617,fishScapes_AQ_2019-06-17.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_1,6/25/2019,14:23,kayak,1,1,1,rover,stationary,tie-dye,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_2,6/25/2019,14:23,kayak,2,1,1,rover,stationary,camo,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_3,6/25/2019,14:23,kayak,3,1,1,rover,stationary,tie-dye,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_4,6/25/2019,14:23,kayak,4,1,0,rover,moving,blue,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_5,6/25/2019,14:23,kayak,5,1,0,rover,moving,grey,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_6,6/25/2019,14:23,kayak,6,1,0,rover,moving,red,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_7,6/25/2019,14:23,kayak,7,1,0,rover,stationary,blue,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_8,6/25/2019,14:23,gas_motor,8,3,1,rover,stationary,red lund,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
AQ_wholeShoreline,37,AQ_wholeShoreline_20190625_2130_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625,AQ_wholeShoreline_20190625_14:23_CR_fishscapesCreel.Instantaneous.20190625_9,6/25/2019,14:23,pontoon,9,2,0,rover,stationary,white,AMK ,fishscapesCreel.Instantaneous.20190625,fishScapes_AQ_2019-06-25.csv
