"","sampleID","date","lakeID","site","time","siteID","projectID","notes","totalNonTrailers","totalInStateNonTrailers","totalBoats","boatsFishing","shoreAnglers","heavyWind","heavyRain","heavyClouds","enteredBy","collectedBy","totalTrailers","totalInStateTrailers"
"1","AQ_boatLaunch_20200613_11:14_covidCreel.Instantaneous",20200613,"AQ","boatLaunch","11:14:00","AQ_boatLaunch","covidCreel.Instantaneous","sunny, hard to see lake",1,0,0,0,0,0,0,0,"AT","BZ, LZ",11,9
"2","AQ_boatLaunch_20200625_13:18_covidCreel.Instantaneous",20200625,"AQ","boatLaunch","13:18:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,1,1,2,2,0,0,0,0,"AT","LZ",5,4
"3","AQ_boatLaunch_20200626_12:04_covidCreel.Instantaneous",20200626,"AQ","boatLaunch","12:04:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,2,2,0,0,0,0,0,0,"AT","LZ",2,2
"4","AQ_boatLaunch_20200702_07:23_covidCreel.Instantaneous",20200702,"AQ","boatLaunch","07:23:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,2,2,2,2,0,0,0,0,"AT","LZ",3,3
"5","AQ_boatLaunch_20200704_08:03_covidCreel.Instantaneous",20200704,"AQ","boatLaunch","08:03:00","AQ_boatLaunch","covidCreel.Instantaneous","holiday",4,3,0,0,0,0,0,0,"AT","LZ",5,5
"6","AQ_boatLaunch_20200716_11:29_covidCreel.Instantaneous",20200716,"AQ","boatLaunch","11:29:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,2,2,3,2,0,0,0,0,"AT","LZ and BZ",3,3
"7","AQ_boatLaunch_20200717_11:32_covidCreel.Instantaneous",20200717,"AQ","boatLaunch","11:32:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,2,2,7,7,0,0,0,0,"AT","BS",10,8
"8","AQ_boatLaunch_20200729_13:56_covidCreel.Instantaneous",20200729,"AQ","boatLaunch","13:56:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,2,2,0,0,0,0,0,0,"AT","ML",4,3
"9","AQ_boatLaunch_20200730_10:24_covidCreel.Instantaneous",20200730,"AQ","boatLaunch","10:24:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,1,1,0,0,0,0,0,0,"AT","ML",3,3
"10","AQ_boatLaunch_20200811_14:09_covidCreel.Instantaneous",20200811,"AQ","boatLaunch","14:09:00","AQ_boatLaunch","covidCreel.Instantaneous",NA,1,1,2,2,0,0,0,0,"AT","KR",7,7
"11","AR_boatLaunch_20200609_12:00_covidCreel.Instantaneous",20200609,"AR","boatLaunch","12:00:00","AR_boatLaunch","covidCreel.Instantaneous","partly sunny; hard to see whole lake",0,0,0,0,0,0,0,0,"AT","BZ, LZ",0,0
"12","AR_boatLaunch_20200613_09:27_covidCreel.Instantaneous",20200613,"AR","boatLaunch","09:27:00","AR_boatLaunch","covidCreel.Instantaneous","sunny",0,0,0,0,0,0,0,0,"AT","BZ, LZ",0,0
"13","AR_boatLaunch_20200619_11:25_covidCreel.Instantaneous",20200619,"AR","boatLaunch","11:25:00","AR_boatLaunch","covidCreel.Instantaneous","raining off and on, and 66 degrees",0,0,0,0,0,0,0,0,"AT","ML",0,0
"14","AR_boatLaunch_20200626_10:02_covidCreel.Instantaneous",20200626,"AR","boatLaunch","10:02:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",0,0
"15","AR_boatLaunch_20200703_19:00_covidCreel.Instantaneous",20200703,"AR","boatLaunch","19:00:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",3,3
"16","AR_boatLaunch_20200706_14:05_covidCreel.Instantaneous",20200706,"AR","boatLaunch","14:05:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",2,0
"17","AR_boatLaunch_20200708_17:24_covidCreel.Instantaneous",20200708,"AR","boatLaunch","17:24:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",0,0
"18","AR_boatLaunch_20200716_08:30_covidCreel.Instantaneous",20200716,"AR","boatLaunch","08:30:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ and BZ",0,0
"19","AR_boatLaunch_20200717_09:25_covidCreel.Instantaneous",20200717,"AR","boatLaunch","09:25:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","BS",1,1
"20","AR_boatLaunch_20200720_13:15_covidCreel.Instantaneous",20200720,"AR","boatLaunch","13:15:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","KR",2,2
"21","AR_boatLaunch_20200725_13:48_covidCreel.Instantaneous",20200725,"AR","boatLaunch","13:48:00","AR_boatLaunch","covidCreel.Instantaneous","partly sunny",0,0,1,0,0,0,0,0,"AT","LZ and BZ",3,3
"22","AR_boatLaunch_20200728_18:07_covidCreel.Instantaneous",20200728,"AR","boatLaunch","18:07:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",1,1
"23","AR_boatLaunch_20200729_12:19_covidCreel.Instantaneous",20200729,"AR","boatLaunch","12:19:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",1,1
"24","AR_boatLaunch_20200730_08:05_covidCreel.Instantaneous",20200730,"AR","boatLaunch","08:05:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
