"","lake_date_time","nvehiclesFishing","nWIfishing","notes","heavyWind","heavyRain","heavyClouds","lakeID","date","time"
"1","AQ_2018-05-13_13:55",2,2,"Arrival count",0,0,0,"AQ","2018-05-13","13:55"
"2","AQ_2018-05-13_14:00",2,2,NA,0,0,0,"AQ","2018-05-13","14:00"
"3","AQ_2018-05-13_15:00",1,1,NA,0,0,0,"AQ","2018-05-13","15:00"
"4","AQ_2018-05-13_16:00",1,1,NA,0,0,0,"AQ","2018-05-13","16:00"
"5","AQ_2018-05-13_17:00",0,0,NA,0,0,0,"AQ","2018-05-13","17:00"
"6","AQ_2018-05-13_18:00",0,0,NA,0,0,0,"AQ","2018-05-13","18:00"
"7","AQ_2018-05-13_19:00",0,0,NA,0,0,0,"AQ","2018-05-13","19:00"
"8","AQ_2018-05-13_20:00",0,0,NA,0,0,0,"AQ","2018-05-13","20:00"
"9","AQ_2018-05-13_21:00",0,0,NA,0,0,0,"AQ","2018-05-13","21:00"
"10","AQ_2018-05-13_21:30",0,0,"Departure count",0,0,0,"AQ","2018-05-13","21:30"
"11","AQ_2018-05-22_13:30",1,1,"Arrival count",0,0,0,"AQ","2018-05-22","13:30"
"12","AQ_2018-05-22_14:00",1,1,NA,0,0,0,"AQ","2018-05-22","14:00"
"13","AQ_2018-05-22_15:00",0,0,NA,0,0,0,"AQ","2018-05-22","15:00"
"14","AQ_2018-05-22_16:00",0,0,NA,0,0,0,"AQ","2018-05-22","16:00"
"15","AQ_2018-05-22_17:00",0,0,NA,0,0,0,"AQ","2018-05-22","17:00"
"16","AQ_2018-05-22_18:00",2,2,NA,0,0,0,"AQ","2018-05-22","18:00"
"17","AQ_2018-05-22_19:00",2,2,NA,0,0,0,"AQ","2018-05-22","19:00"
"18","AQ_2018-05-22_20:00",2,2,NA,0,0,0,"AQ","2018-05-22","20:00"
"19","AQ_2018-05-22_21:00",2,2,NA,0,0,0,"AQ","2018-05-22","21:00"
"20","AQ_2018-05-22_21:30",1,1,"Depart count",0,0,0,"AQ","2018-05-22","21:30"
"21","AQ_2018-06-23_05:20",4,3,"Arrival count",0,0,0,"AQ","2018-06-23","05:20"
"22","AQ_2018-06-23_06:00",4,3,NA,0,0,0,"AQ","2018-06-23","06:00"
"23","AQ_2018-06-23_07:00",6,5,NA,0,0,0,"AQ","2018-06-23","07:00"
"24","AQ_2018-06-23_08:00",6,5,NA,0,0,0,"AQ","2018-06-23","08:00"
"25","AQ_2018-06-23_09:00",6,5,NA,0,0,0,"AQ","2018-06-23","09:00"
"26","AQ_2018-06-23_10:00",4,3,NA,0,0,0,"AQ","2018-06-23","10:00"
"27","AQ_2018-06-23_11:00",7,6,NA,0,0,0,"AQ","2018-06-23","11:00"
"28","AQ_2018-06-23_12:00",9,8,NA,0,0,0,"AQ","2018-06-23","12:00"
"29","AQ_2018-06-23_13:00",11,8,NA,0,0,0,"AQ","2018-06-23","13:00"
