lakeID,WBIC,lakeName,actuallyFS
AR,1541500,Arrowhead Lake,1
BH,2311100,Birch Lake,1
CA,1839100,Camp Lake,1
FD,1593800,Found Lake,1
JS,1541100,Johnson Lake,1
LC,2335500,Little Crooked Lake,1
LH,1620500,Lake of the Hills,1
LR,1540400,Little Spider Lake,1
OB,2954800,Oxbow Lake,1
TO,1022900,Towanda Lake,1
WC,2336800,Wildcat Lake,1
AQ,2332400,Allequash Lake,1
BK,1630100,Black Oak Lake,1
HT,991700,Hunter Lake,1
MS,1595600,Muskellunge Lake,1
WS,2045000,Wabasso Lake,1
AV,968800,Anvil Lake,1
BOT,1619100,Boot Lake,1
BY,1541300,Brandy Lake,1
DS,1601300,Deerskin Lake,1
DY,1843500,Day Lake,1
ER,983600,Erickson Lake,1
ID,2764400,Indian Lake,1
IV,2340900,Irving Lake,1
LE,1000400,Lone Tree Lake,1
LK,1862100,Little Rock Lake,1
LL,1831700,Lake Adelaide,1
LT,1593400,Lost Lake,1
LV,1545300,Little Arbor Vitae Lake,1
NH,1870400,Nichols Lake,1
PK,1619700,Pickerel Lake,1
PN,1623400,Pioneer Lake,1
PT,2341500,Partridge Lake,1
RN,2310800,Rainbow Lake,1
SA,717400,Spectacle Lake,1
SE,1884200,Street Lake,1
SM,1020300,Stormy Lake,1
SV,1599800,Silver Lake,1
UG,2330800,Upper Gresham Lake,1
WN,2338100,Whitney Lake,1
WB,2340500,White Birch Lake,1
LA,1630700,Landing Lake,0
PM,2962900,Palmer Lake,0
BL,2340700,Ballard Lake,0
BT,2336700,Big Kitten Lake,0
