WBIC,lakePerimeter_m,lakeArea_m2,buildingCount50m,buildingCount100m,buildingCount200m,buildingDensity50m,buildingDensity100m,buildingDensity200m
584500,1347.620135,118903.4382,0,0,0,0,0,0
585400,1845.464673,194735.0521,0,0,0,0,0,0
585800,335.4319357,8549.298859,0,0,0,0,0,0
585900,856.8837334,42304.92414,0,0,0,0,0,0
586200,2090.921891,176057.1154,0,0,0,0,0,0
586300,1789.036448,91660.53628,0,0,0,0,0,0
586800,2192.211796,244916.1371,3,11,13,1.368480913,5.017763349,5.930083958
586900,812.9357374,41767.38252,0,0,0,0,0,0
588600,924.8487075,50033.1582,0,0,0,0,0,0
590000,856.0180839,38196.75041,0,0,0,0,0,0
590700,380.7834004,9667.733657,0,2,12,0,5.252329797,31.51397878
591000,2328.244837,183437.8092,0,0,0,0,0,0
591500,632.5392682,29428.00026,0,0,0,0,0,0
592400,1149.750967,79355.54176,0,0,0,0,0,0
599300,495.5366968,14617.31304,0,0,0,0,0,0
599400,237.213043,2540.540522,0,0,0,0,0,0
599500,492.3884617,14817.81698,0,0,0,0,0,0
603100,500.2970803,17741.16661,0,0,0,0,0,0
603200,221.2852292,3355.954213,0,0,0,0,0,0
603300,630.8071819,24643.89375,0,0,0,0,0,0
603400,228.3725713,3487.355065,0,0,0,0,0,0
603500,274.2347554,4341.992843,0,0,0,0,0,0
603600,745.7409728,29444.1895,0,0,0,0,0,0
603700,270.9784829,4203.951594,0,0,0,0,0,0
604300,353.6400461,9156.482931,0,0,0,0,0,0
604400,504.9817006,11476.73096,0,0,0,0,0,0
607800,349.7532363,7650.346233,0,0,0,0,0,0
607825,522.2167858,14079.71399,0,0,1,0,0,1.914913552
691400,2827.525948,26212.14433,0,0,0,0,0,0
692400,13130.25686,5043878.473,0,0,0,0,0,0
692600,2809.475999,192714.0005,0,0,0,0,0,0
692700,2489.761802,194977.9904,0,0,0,0,0,0
692900,11202.04123,3396924.312,0,0,0,0,0,0
693000,975.9441723,62779.11582,0,0,0,0,0,0
693100,677.8970333,21405.89472,0,0,0,0,0,0
693300,1269.60918,76582.85611,0,0,0,0,0,0
697700,134.8170738,1351.42312,0,0,0,0,0,0
697800,614.9105452,6917.035391,0,0,0,0,0,0
716100,1768.793799,117477.5243,0,0,0,0,0,0
716300,969.0808626,10633.99092,1,1,1,1.031905632,1.031905632,1.031905632
716500,166.278078,1236.463267,0,0,0,0,0,0
716700,320.5379801,5114.758802,0,0,0,0,0,0
716800,10082.79866,4051525.244,39,115,157,3.867973696,11.40556346,15.5710736
717100,694.5256234,20489.56218,0,0,0,0,0,0
717200,1346.980681,57548.67494,0,0,0,0,0,0
717300,943.2147557,50680.39801,0,0,2,0,0,2.120407879
717400,6268.922217,671673.9854,31,86,125,4.945028655,13.71846659,19.93963167
717600,230.5289338,2567.896204,0,0,0,0,0,0
718700,484.022415,6951.892934,0,0,0,0,0,0
718800,400.6039595,12239.0459,0,0,0,0,0,0
720800,353.8584826,5028.173466,0,0,0,0,0,0
967100,710.6483624,34820.89888,0,0,4,0,0,5.628662798
967400,3630.479236,572754.6035,2,8,14,0.550891458,2.203565832,3.856240207
967900,2661.04023,233618.8355,33,81,110,12.40116539,30.43922414,41.33721797
968500,1629.558083,140761.8942,11,21,24,6.750296364,12.88692942,14.72791934
968600,872.731447,47805.16783,0,1,5,0,1.145827853,5.729139264
968800,7291.419389,1525555.636,51,188,271,6.994522915,25.78373153,37.1669747
968900,2504.241983,233567.5647,0,0,0,0,0,0
969100,1195.380859,86447.90697,0,6,9,0,5.019320792,7.528981187
969200,762.334481,31493.48996,0,0,0,0,0,0
969400,2283.360834,93919.18584,10,34,47,4.379509296,14.89033161,20.58369369
970400,414.6897323,11657.67553,0,0,4,0,0,9.645765709
971000,782.4249763,31190.49998,0,0,0,0,0,0
971200,1390.132418,110990.8071,0,0,0,0,0,0
971400,968.1499138,53577.00355,3,4,5,3.09869366,4.131591547,5.164489433
971700,2814.891896,373775.2147,1,5,6,0.35525343,1.776267148,2.131520578
972100,3978.38486,418880.9305,0,0,0,0,0,0
972200,728.4850482,39210.07596,1,3,14,1.37271177,4.11813531,19.21796478
973400,1306.60807,117353.8803,5,32,34,3.826702218,24.4908942,26.02157508
973500,1925.446137,171960.4787,6,29,36,3.116160917,15.06144443,18.6969655
974200,3337.786376,423780.2509,0,0,0,0,0,0
974300,1145.320674,83967.33298,0,0,0,0,0,0
974500,1315.333155,64569.34843,0,0,10,0,0,7.602636614
974700,1571.51657,141414.0492,0,0,0,0,0,0
975100,231.4542587,3424.580103,0,0,0,0,0,0
975400,1748.307123,99972.61595,2,6,9,1.143963766,3.431891297,5.147836946
975500,1451.995112,134279.0285,1,5,5,0.688707553,3.443537763,3.443537763
975600,1005.819851,59880.18607,0,0,0,0,0,0
976100,5492.421089,1372419.203,32,127,199,5.826210242,23.1227719,36.23174494
976200,1055.019924,70125.41437,0,0,0,0,0,0
976300,1309.662141,84555.2204,0,1,4,0,0.763555705,3.054222822
976500,1274.380478,71017.38942,3,10,32,2.354085025,7.846950084,25.11024027
976800,1493.753149,116936.1353,1,14,19,0.669454656,9.372365178,12.71963846
976900,1194.166859,83567.15924,0,0,0,0,0,0
977500,23624.62158,3534737.433,0,0,0,0,0,0
977800,796.762891,39805.49712,0,0,0,0,0,0
978300,1079.607907,67761.66051,0,0,0,0,0,0
978500,1258.097939,66264.88367,0,0,0,0,0,0
978600,820.1595262,47772.74146,4,16,25,4.877099969,19.50839988,30.48187481
979400,1334.306127,88199.14766,0,0,0,0,0,0
979500,884.0765759,56402.05111,0,0,0,0,0,0
979700,2058.38022,210712.7114,3,15,15,1.457456679,7.287283397,7.287283397
979800,1477.296584,95610.02914,0,7,16,0,4.738385016,10.83059432
980000,1089.922591,61672.87422,0,0,1,0,0,0.917496351
980100,949.5557197,63537.68835,0,4,4,0,4.212496347,4.212496347
980200,816.7649972,42288.57217,0,0,0,0,0,0
980500,426.4124338,8975.96276,0,0,0,0,0,0
980600,2251.677674,267016.0811,12,31,37,5.329359587,13.76751227,16.43219206
980800,1693.608496,109072.3341,1,4,9,0.590455234,2.361820935,5.314097103
981400,4128.106094,163635.4624,0,0,0,0,0,0
981700,520.6630493,15094.62341,0,0,1,0,0,1.92062794
982100,4922.882615,346656.3035,10,38,68,2.031330174,7.719054662,13.81304518
982500,1887.602139,130713.8197,13,64,87,6.887044537,33.90545003,46.09022113
983100,861.0763362,45822.5239,0,0,0,0,0,0
983200,1113.759222,62714.60877,0,0,0,0,0,0
983600,3569.743739,444085.5316,2,4,4,0.560264306,1.120528613,1.120528613
983800,1379.533018,76003.66962,0,0,0,0,0,0
984000,874.3636214,51344.82885,19,33,38,21.73008979,37.74173489,43.46017958
984700,2486.956144,351321.9191,15,43,64,6.031469448,17.29021242,25.73426965
984800,3110.669591,438104.814,31,90,126,9.965700018,28.93267747,40.50574846
985900,4956.160216,592967.1871,0,0,0,0,0,0
986000,4237.327736,644099.8905,0,0,0,0,0,0
986700,1305.166424,18584.86304,2,6,30,1.532371629,4.597114888,22.98557444
987300,1405.019417,95661.02143,3,6,6,2.135201808,4.270403616,4.270403616
987500,1917.164542,209213.7142,6,36,53,3.129621829,18.77773097,27.64499282
987700,959.4438838,56804.78029,0,0,0,0,0,0
988100,1413.658484,83626.63367,3,32,51,2.122153289,22.63630174,36.07660591
988300,2862.737837,311450.3453,2,9,11,0.698631909,3.143843591,3.8424755
988600,981.0329069,44212.94366,0,0,0,0,0,0
989000,2269.726901,263013.4176,9,46,70,3.965234759,20.26675543,30.84071479
989200,1918.077126,153745.8623,0,0,0,0,0,0
989300,715.6136447,20600.58248,0,2,2,0,2.794804172,2.794804172
989800,1189.322723,55364.75919,2,32,58,1.681629353,26.90606964,48.76725122
990200,2211.480458,135441.4258,0,0,0,0,0,0
990300,832.6807782,45977.22644,0,26,39,0,31.22445081,46.83667622
990500,913.5155288,55367.45544,0,0,0,0,0,0
991000,1723.498405,147633.3001,0,1,5,0,0.580215216,2.901076082
991600,2165.804893,140517.0101,4,34,64,1.846888431,15.69855166,29.5502149
991700,4958.133674,707797.4249,23,66,81,4.638842256,13.31146039,16.33679229
991800,1201.098658,90506.06572,0,0,1,0,0,0.832571074
992100,952.2484002,36424.56297,0,0,0,0,0,0
992800,519.1920778,15232.96781,0,0,0,0,0,0
992900,1079.712431,43031.41311,0,0,4,0,0,3.704690144
993300,1476.682949,113295.7553,6,22,31,4.063160615,14.89825559,20.99299651
993500,1367.650232,90277.94836,1,21,26,0.731181099,15.35480309,19.01070859
993900,1376.604691,64463.74188,0,0,0,0,0,0
994200,488.927967,12817.97962,0,0,0,0,0,0
994300,1115.560165,63569.21675,0,0,0,0,0,0
995200,8238.873832,2539800.744,20,54,72,2.427516237,6.554293839,8.739058453
995600,661.628953,32651.67305,0,3,15,0,4.534263482,22.67131741
995800,911.8373737,58108.07349,2,7,13,2.193373575,7.676807512,14.25692824
995900,3287.276185,198822.7834,0,0,0,0,0,0
996200,2762.507048,247406.6429,5,9,9,1.809950133,3.25791024,3.25791024
996700,716.5624883,39498.73646,4,9,12,5.582206807,12.55996532,16.74662042
996900,834.3816385,27244.80928,0,0,0,0,0,0
997200,1600.004524,122138.0415,0,5,5,0,3.124991165,3.124991165
997600,988.8382234,47241.4718,0,0,1,0,0,1.011287768
998300,1006.183711,63810.8757,6,27,94,5.963125754,26.83406589,93.42230348
998400,2094.819113,105371.6312,1,1,5,0.477368186,0.477368186,2.38684093
998500,2218.460923,176289.7595,0,0,0,0,0,0
998600,3115.035989,258597.4153,2,7,13,0.642047157,2.247165049,4.173306519
998900,855.824359,41986.90094,0,0,0,0,0,0
999000,447.9328395,13572.89166,0,1,3,0,2.232477532,6.697432595
999100,1505.668628,87936.25308,0,2,5,0,1.328313523,3.320783808
999500,934.0846893,66648.00496,9,27,37,9.635100653,28.90530196,39.61096935
1.00E+06,1185.571432,69551.8247,3,7,8,2.530425346,5.904325806,6.747800921
1000400,3849.801883,524337.9099,0,0,0,0,0,0
1000500,1084.663559,57462.38011,0,0,1,0,0,0.921944867
1001600,1936.927578,143755.4038,8,39,52,4.130252514,20.13498101,26.84664134
1002200,1367.593861,100631.1641,6,21,26,4.387267427,15.35543599,19.01149218
1002600,2112.057343,146330.1781,8,34,37,3.787775946,16.09804777,17.51846375
1002900,2144.1448,185326.6602,0,0,0,0,0,0
1003000,2978.149863,311917.3837,9,38,57,3.022010447,12.75959966,19.1393995
1003100,2874.549849,236181.463,0,0,0,0,0,0
1003200,1163.713638,94659.13347,0,0,0,0,0,0
1003700,2533.708796,167318.1967,6,46,61,2.368070083,18.15520397,24.07537918
1004400,3928.489622,708863.574,5,65,110,1.272753776,16.54579909,28.00058307
1004500,1628.427613,108441.3785,0,0,0,0,0,0
1005700,4478.063314,381341.7946,14,42,47,3.126351509,9.379054527,10.49560864
1005800,3189.959462,528246.5825,27,70,101,8.464057404,21.94385253,31.66184436
1006600,932.4669715,54783.37064,0,4,8,0,4.289696174,8.579392348
1006900,599.884116,19711.19517,2,3,9,3.333977258,5.000965887,15.00289766
1007600,4005.453004,441148.1942,15,57,76,3.744894769,14.23060012,18.9741335
1008100,3582.374777,469162.9196,4,16,20,1.116577759,4.466311036,5.582888795
1008300,1057.326748,52457.57302,1,3,18,0.945781426,2.837344278,17.02406567
1008400,1575.667059,105277.4004,2,3,9,1.269303682,1.903955523,5.711866568
1008700,2544.471329,171680.1709,0,0,0,0,0,0
1009400,3401.243194,329311.4664,0,0,0,0,0,0
1009600,1536.95589,117103.7557,0,0,0,0,0,0
1009800,1129.025748,67992.65103,2,16,30,1.771438786,14.17151029,26.57158179
1009900,1122.311384,73067.42487,0,0,1,0,0,0.891018317
1010000,546.0233646,10259.74939,0,3,27,0,5.494270382,49.44843344
1011100,2002.107187,137790.3676,0,0,0,0,0,0
1011200,1988.546546,143253.2483,8,26,30,4.023038845,13.07487625,15.08639567
1011300,1129.883911,60438.4997,0,2,2,0,1.770093352,1.770093352
1011800,1196.791522,89397.22616,1,2,2,0.835567416,1.671134832,1.671134832
1011900,2394.003513,286101.9728,2,35,68,0.835420662,14.61986158,28.40430251
1012300,1643.067068,168472.1276,0,5,5,0,3.043089413,3.043089413
1012700,370.1288026,10612.99762,0,0,0,0,0,0
1013200,1902.991545,124329.1844,0,0,0,0,0,0
1013500,1425.285062,92954.06625,2,2,2,1.403228065,1.403228065,1.403228065
1013600,1949.155058,156296.3377,1,16,21,0.513042816,8.208685059,10.77389914
1013700,2251.33392,245154.3109,10,25,28,4.441811102,11.10452775,12.43707108
1013800,9666.674536,1543634.258,39,64,85,4.034479474,6.620684265,8.79309629
1014000,1982.821795,195564.121,12,31,39,6.051981085,15.63428447,19.66893853
1014300,6397.932688,602302.8131,9,22,24,1.40670439,3.438610731,3.751211707
1015600,649.3108458,26058.14244,0,14,29,0,21.56132165,44.66273771
1015900,1259.815351,83532.33638,0,0,0,0,0,0
1016000,938.1488693,58902.30873,0,1,5,0,1.065928908,5.329644541
1016500,1010.959035,72730.96838,2,5,6,1.978319528,4.945798819,5.934958583
1016800,1541.724816,141221.8799,0,0,0,0,0,0
1018200,1803.103142,166561.2336,0,0,0,0,0,0
1018300,11690.83591,2477821.929,15,23,28,1.283056243,1.967352906,2.395038321
1018500,5826.297288,872113.3811,29,100,129,4.977432247,17.16355947,22.14099172
1018700,1147.473616,77027.27068,0,1,7,0,0.871479733,6.100358131
1018800,632.2906567,26708.7161,0,1,5,0,1.581551126,7.907755629
1019000,2568.71999,295952.6777,2,21,39,0.778597904,8.175277993,15.18265913
1019200,1459.699602,145594.4745,7,23,50,4.795507235,15.75666663,34.25362311
1019600,1239.252536,82099.44964,14,23,26,11.29713242,18.55957468,20.98038877
1019800,2558.0948,271099.5371,1,1,3,0.390915927,0.390915927,1.172747781
1020000,1697.589792,162461.7807,1,2,3,0.58907046,1.178140921,1.767211381
1020300,7594.898966,2116163.588,70,244,308,9.216712468,32.12682632,40.55353486
1020360,356.0739939,6837.387443,0,0,0,0,0,0
1020500,3540.869155,254925.3129,57,105,119,16.09774254,29.65373625,33.60756775
1020600,4717.306856,352133.7334,0,0,0,0,0,0
1020900,3887.686314,838585.3952,23,65,82,5.916115175,16.71945593,21.09223671
1021800,1122.780421,66634.72042,0,3,10,0,2.671938291,8.906460971
1022000,1049.159351,77029.54833,0,0,0,0,0,0
1022600,1574.070808,150212.9341,3,9,10,1.905886307,5.717658921,6.352954357
1022700,1729.093133,158508.6719,0,20,31,0,11.56675694,17.92847326
1022800,1564.485632,141935.5565,0,0,0,0,0,0
1022900,6119.108481,563082.6276,42,160,224,6.86374496,26.14759985,36.60663979
1023300,3461.967274,390645.8764,0,0,0,0,0,0
1144400,111.6479898,826.7243063,0,0,0,0,0,0
1144900,291.3019524,5604.271461,0,0,0,0,0,0
1145000,234.6108056,4111.525194,0,0,0,0,0,0
1145100,320.6672805,7858.619795,0,0,0,0,0,0
1145200,187.0463562,1462.874697,0,0,0,0,0,0
1145300,202.6209812,2312.734878,0,0,0,0,0,0
1145400,1054.453568,55294.88805,0,0,0,0,0,0
1145500,319.5963208,7154.991638,0,0,0,0,0,0
1146200,478.5599517,12072.44638,0,0,0,0,0,0
1146300,492.6089805,16517.1584,0,0,0,0,0,0
1146400,202.6726909,2984.401272,0,0,0,0,0,0
1146500,334.5723546,4956.811797,0,0,0,0,0,0
1146600,210.8220329,3198.361316,0,0,0,0,0,0
1146700,388.6713538,4809.771796,0,0,0,0,0,0
1146800,213.7279977,3123.37439,0,0,0,0,0,0
1146900,154.8343182,1514.63725,0,0,0,0,0,0
1147000,245.8641767,2665.299559,0,0,0,0,0,0
1147100,180.6290609,2055.381472,0,0,0,0,0,0
1147200,325.7457436,7419.933327,0,0,0,0,0,0
1147300,785.7982321,11224.5724,0,0,0,0,0,0
1147400,149.4861354,1424.888213,0,0,0,0,0,0
1147500,877.85142,51002.19366,0,0,0,0,0,0
1147700,440.3147459,13634.75434,0,0,0,0,0,0
1149000,215.0125563,3532.546687,0,0,0,0,0,0
1149100,674.2890505,27367.01394,0,0,0,0,0,0
1149300,393.4295125,10936.27613,0,0,0,0,0,0
1149400,128.912547,1287.80909,0,0,0,0,0,0
1149500,106.974878,640.4352843,0,0,0,0,0,0
1149600,185.4493524,2461.500865,0,0,0,0,0,0
1149700,196.3372977,2689.7041,0,0,0,0,0,0
1149800,372.9479725,6773.448087,0,0,0,0,0,0
1150000,167.0541323,1346.16045,0,0,0,0,0,0
1150200,114.9591947,723.1010186,0,0,0,0,0,0
1150500,229.2596791,3005.732078,0,0,0,0,0,0
1152000,343.6392111,8227.201023,0,4,6,0,11.64011519,17.46017278
1152100,217.2072277,3164.959669,0,0,0,0,0,0
1152300,134.7326652,1113.042247,0,0,0,0,0,0
1152400,328.1995799,5336.135356,0,0,0,0,0,0
1152500,97.31774582,527.2454593,0,0,0,0,0,0
1152600,837.5122446,25174.85886,0,0,0,0,0,0
1152650,355.5741105,6515.19715,0,0,0,0,0,0
1153100,583.6778438,21971.4088,0,0,0,0,0,0
1153200,465.3992165,12804.38438,0,0,0,0,0,0
1153300,201.0824634,2645.836303,0,0,0,0,0,0
1153400,139.2657301,1294.548772,0,0,0,0,0,0
1153500,844.4138443,38674.64146,0,0,0,0,0,0
1153600,516.478421,20183.06738,0,0,0,0,0,0
1153700,346.4142334,6600.844185,0,0,0,0,0,0
1153800,82.09186955,516.0468094,0,0,0,0,0,0
1153900,352.5549984,9258.095467,0,0,0,0,0,0
1154000,667.4544137,11336.17686,0,0,0,0,0,0
1154400,455.4960504,13640.91726,9,12,20,19.75867846,26.34490461,43.90817436
1154500,915.9240809,20296.31561,0,0,6,0,0,6.550761275
1154600,762.8809894,36987.85819,0,0,0,0,0,0
1154700,1251.292442,88815.14266,2,4,4,1.598347383,3.196694766,3.196694766
1154800,709.2498956,35625.84808,0,0,1,0,0,1.409940285
1155700,384.5785573,9128.736198,0,0,0,0,0,0
1155800,202.9503654,1567.044799,0,0,0,0,0,0
1155900,112.1682394,886.6512642,0,0,0,0,0,0
1156000,501.6998762,17818.07189,0,0,0,0,0,0
1156100,214.4390505,3306.171242,0,0,0,0,0,0
1156200,610.4967402,24285.55796,0,0,0,0,0,0
1156300,959.8441644,30191.378,0,0,0,0,0,0
1156400,625.899437,26670.14234,0,0,0,0,0,0
1156700,515.101926,18837.14498,0,0,3,0,0,5.824090046
1157400,317.7377807,6336.416863,0,0,0,0,0,0
1157500,732.6535122,32062.78804,0,0,0,0,0,0
1158000,271.4424272,4518.043282,0,0,0,0,0,0
1158200,1192.2079,52502.67948,0,0,1,0,0,0.838779881
1158300,695.3252484,23752.06834,0,3,6,0,4.314527636,8.629055271
1158400,571.9909502,21594.18735,0,0,3,0,0,5.244838225
1158600,525.7008188,19434.6937,0,0,0,0,0,0
1158800,232.4731296,3478.685928,0,0,0,0,0,0
1158810,493.7227929,14816.68784,0,0,0,0,0,0
1158900,898.3460713,55244.09809,0,1,3,0,1.113156758,3.339470273
1159000,382.9024964,10203.61256,0,0,0,0,0,0
1159100,415.2617847,13100.30405,0,0,0,0,0,0
1159200,382.0869419,7590.605577,0,0,0,0,0,0
1159300,409.7353261,11373.41387,0,3,14,0,7.321799731,34.16839874
1159400,452.5378018,14733.42583,0,1,5,0,2.209760148,11.04880074
1159500,580.857819,22026.44838,1,13,25,1.7215917,22.3806921,43.0397925
