WBIC,waterbody,landingName,landingType,rampType,closestIntersection,adaAccess,launchLanes,launchFee,launchEndDepth,rampSlope,carStallNumber,carTrailerStallNumber,boardingDock,restroomType,fishCleanStation,potableWater,marinePumpout,utlityCompany,utilityType,light,comments,ownershipSite,ownershipName,ownershipMgrPhone,authorityLevel,authorityName,authorityMgrPhone,lat,long,county,municipality,townNumber,rangeNumber,rangeDirection,sectionNo,lastUpdate,
2329600,Alder Lake,Alder Lake Access,CARRY-IN,Unimproved,Alder Park Road,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Unimproved,sand launch.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,46.09258325,-89.82489319,Vilas,TOWN OF MANITOWISH WATERS,42,5,E,25,1/27/2017,
2332400,Allequash Lake,Allequash Lake Access,RAMP,Concrete Plank,Allequash Lake Road,No,2,No,Gr3,8,15-Nov,15-Nov,Yes,None,No,No,No,No,NONE,No,"Located off Hwy M on Allequash Lake Road. The approaches, to the boarding docks, are not ADA accessible (April/2015). Trim up to power load.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.03405979,-89.63027429,Vilas,TOWN OF BOULDER JUNCTION,41,7,E,16,3/23/2017,
2332700,Allequash Springs,Allequash Springs Access,CARRY-IN,Unimproved,Starette Road,No,1,No,Lt3,0,0,0,No,None,No,No,No,No,NONE,No,"It is approximately an 1,800' carry/cart-in from the gate.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.03428469,-89.58024729,Vilas,TOWN OF PLUM LAKE,41,7,E,14,5/30/2017,
967900,Alma Lake,Alma Lake Ramp,RAMP,Gravel,Waters Place Road,No,1,No,Lt3,14,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,"Signage at the launch indicates ""slow now wake at all times"". Blacktop to gravel launch.",TOWNSHIP,Town of Saint Germain,715-542-3813,TOWNSHIP,Town of Saint Germain,715-542-3813,45.91041835,-89.42668736,Vilas,TOWN OF SAINT GERMAIN,40,8,E,36,3/22/2017,
2953800,Annabelle Lake,Annabelle Lake Access,RAMP,Concrete Plank,Annabelle Landing Road,No,1,No,Lt3,15,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,Narrow corridor for backing. Blacktop to concrete plank launch.,COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,COUNTY,"Forestry, Land & Recreation Dept.",(715) 479-5160,46.22065354,-89.67966207,Vilas,TOWN OF PRESQUE ISLE,43,7,E,7,2/2/2017,
1832200,Anne Lake,Anne Lake Access,CARRY-IN,Unimproved,Big Lake Road,No,0,No,Lt3,0,5-Jan,0,No,None,No,No,No,No,NONE,No,"Carry-in site. Improved, gravel, access trail with wooden, erosion control structures. Sand, lake launch.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355 Ext. 119,46.17168312,-89.7859022,Vilas,TOWN OF PRESQUE ISLE,43,6,E,30,2/2/2017,
968800,Anvil Lake,Anvil Lake Access,RAMP,Concrete Panels,Off of S. Anvil Lake Road,No,1,No,Gr3,10,10-Jun,10-Jun,Yes,Vault,No,No,No,No,NONE,No,"Restroom is accessible and there is one designated parking stall. The route of travel, to the boarding dock, is not ADA accessible (July/2009). Concrete panels to sand launch. There is a vehicle admission fee required.",FEDERAL,US Forest Service,715-479-2827,FEDERAL,US Forest Service,715-479-2827,45.93642605,-89.0632489,Vilas,TOWN OF WASHINGTON,40,11,E,24,3/27/2017,
2269400,Apeekwa Lake,Apeekwa Lake Access,RAMP,Gravel,Island Club Road,No,1,No,Gr3,4,5-Jan,5-Jan,No,None,No,No,No,No,NONE,No,Located just off Island Club Lake. Rough parking area in July/2013. Entrance road is paved to gravel. Site is located within the road right of way and users would need to back off of Island Club Road to launch.,TOWNSHIP,Town of Lac Du Flambeay,715-588-3358,TOWNSHIP,Town of Lac Du Flambeau,715-588-3358,45.96091462,-90.03497297,Vilas,TOWN OF LAC DU FLAMBEAU,40,4,E,7,2/6/2017,
1541500,Arrowhead Lake,Arrowhead Lake Access,RAMP,Paved,S. Old Hwy 51 Road,No,1,No,Lt3,6,10-Jun,5-Jan,No,None,No,No,No,No,NONE,No,Town of Arbor Vitae landing. Blacktop to lake bottom launch.,TOWNSHIP,Town of Arbor Vitae,715-356-3120,TOWNSHIP,Town of Arbor Vitae,715-356-3120,45.90344016,-89.68586469,Vilas,TOWN OF ARBOR VITAE,40,6,E,36,3/23/2017,
1592700,Aurora Lake,Aurora Lake Ramp,RAMP,Gravel,Aurora Lake Road,No,1,No,Lt3,4,1,1,No,None,No,No,No,No,NONE,No,"One lane entrance/exit road with a turnout, for backing in, before the launch site. Gravel to muck launch. Very shallow landing. Limited parking. No Camping.",STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,STATE(DNR),NHAL Recreation Team Leader,(715) 385-3355  Ext.119,46.02132237,-89.54006833,Vilas,TOWN OF PLUM LAKE,41,8,E,19,3/24/2017,
1626400,Baker Lake,Baker Lake Access,RAMP,Concrete Plank,Baker Lake Road,Yes,1,No,Gr3,3,5-Jan,5-Jan,Yes,None,No,No,No,No,NONE,No,"Located off Baker Lake Road, Off Hwy S. Roadside parking. Loop road launch. Concrete plank to lake bottom launch. The boarding dock is designed ADA accessible but is accessed by a larger stone approach which may be problematic (April/2015).",STATE(DNR),,,STATE(DNR),,,46.06658467,-89.34676664,Vilas,TOWN OF CONOVER,41,9,E,3,2/24/2017,
